Doc_ID	Sent_ID	Word	SR4GN	Biobert	compare
10835480_v0.xml	1	Anopheles	B	B	0
10835480_v0.xml	1	stephensi	I	I	0
10835480_v0.xml	1	Dox-A2	O	O	0
10835480_v0.xml	1	shares	O	O	0
10835480_v0.xml	1	common	O	O	0
10835480_v0.xml	1	ancestry	O	O	0
10835480_v0.xml	1	with	O	O	0
10835480_v0.xml	1	genes	O	O	0
10835480_v0.xml	1	from	O	O	0
10835480_v0.xml	1	distant	O	O	0
10835480_v0.xml	1	groups	O	O	0
10835480_v0.xml	1	of	O	O	0
10835480_v0.xml	1	eukaryotes	O	O	0
10835480_v0.xml	1	encoding	O	O	0
10835480_v0.xml	1	a	O	O	0
10835480_v0.xml	1	26S	O	O	0
10835480_v0.xml	1	proteasome	O	O	0
10835480_v0.xml	1	subunit	O	O	0
10835480_v0.xml	1	and	O	O	0
10835480_v0.xml	1	is	O	O	0
10835480_v0.xml	1	in	O	O	0
10835480_v0.xml	1	a	O	O	0
10835480_v0.xml	1	conserved	O	O	0
10835480_v0.xml	1	gene	O	O	0
10835480_v0.xml	1	cluster	O	O	0
10835480_v0.xml	1	.	O	O	0
10835480_v0.xml	2	The	O	O	0
10835480_v0.xml	2	sequence	O	O	0
10835480_v0.xml	2	of	O	O	0
10835480_v0.xml	2	a	O	O	0
10835480_v0.xml	2	cloned	O	O	0
10835480_v0.xml	2	Anopheles	B	B	0
10835480_v0.xml	2	stephensi	I	I	0
10835480_v0.xml	2	gene	O	O	0
10835480_v0.xml	2	showed	O	O	0
10835480_v0.xml	2	72	O	O	0
10835480_v0.xml	2	%	O	O	0
10835480_v0.xml	2	inferred	O	O	0
10835480_v0.xml	2	amino	O	O	0
10835480_v0.xml	2	acid	O	O	0
10835480_v0.xml	2	identity	O	O	0
10835480_v0.xml	2	with	O	O	0
10835480_v0.xml	2	Drosophila	B	B	0
10835480_v0.xml	2	melanogaster	I	I	0
10835480_v0.xml	2	Dox-A2	O	O	0
10835480_v0.xml	2	and	O	O	0
10835480_v0.xml	2	93	O	O	0
10835480_v0.xml	2	%	O	O	0
10835480_v0.xml	2	with	O	O	0
10835480_v0.xml	2	its	O	O	0
10835480_v0.xml	2	putative	O	O	0
10835480_v0.xml	2	ortholog	O	O	0
10835480_v0.xml	2	in	O	O	0
10835480_v0.xml	2	Anopheles	B	B	0
10835480_v0.xml	2	gambiae	I	I	0
10835480_v0.xml	2	.	O	O	0
10835480_v0.xml	3	Dox-A2	O	O	0
10835480_v0.xml	3	is	O	O	0
10835480_v0.xml	3	the	O	O	0
10835480_v0.xml	3	reported	O	O	0
10835480_v0.xml	3	but	O	O	0
10835480_v0.xml	3	herein	O	O	0
10835480_v0.xml	3	disputed	O	O	0
10835480_v0.xml	3	structural	O	O	0
10835480_v0.xml	3	locus	O	O	0
10835480_v0.xml	3	for	O	O	0
10835480_v0.xml	3	diphenol	O	O	0
10835480_v0.xml	3	oxidase	O	O	0
10835480_v0.xml	3	A2	O	O	0
10835480_v0.xml	3	.	O	O	0
10835480_v0.xml	4	Database	O	O	0
10835480_v0.xml	4	searches	O	O	0
10835480_v0.xml	4	identified	O	O	0
10835480_v0.xml	4	Dox-A2	O	O	0
10835480_v0.xml	4	related	O	O	0
10835480_v0.xml	4	gene	O	O	0
10835480_v0.xml	4	sequences	O	O	0
10835480_v0.xml	4	from	O	O	0
10835480_v0.xml	4	15	O	O	0
10835480_v0.xml	4	non-insect	O	O	0
10835480_v0.xml	4	species	O	O	0
10835480_v0.xml	4	from	O	O	0
10835480_v0.xml	4	diverse	O	O	0
10835480_v0.xml	4	groups	O	O	0
10835480_v0.xml	4	.	O	O	0
10835480_v0.xml	5	Phylogenetic	O	O	0
10835480_v0.xml	5	trees	O	O	0
10835480_v0.xml	5	based	O	O	0
10835480_v0.xml	5	on	O	O	0
10835480_v0.xml	5	alignments	O	O	0
10835480_v0.xml	5	of	O	O	0
10835480_v0.xml	5	inferred	O	O	0
10835480_v0.xml	5	protein	O	O	0
10835480_v0.xml	5	sequences	O	O	0
10835480_v0.xml	5	,	O	O	0
10835480_v0.xml	5	DNA	O	O	0
10835480_v0.xml	5	,	O	O	0
10835480_v0.xml	5	and	O	O	0
10835480_v0.xml	5	protein	O	O	0
10835480_v0.xml	5	motif	O	O	0
10835480_v0.xml	5	searches	O	O	0
10835480_v0.xml	5	and	O	O	0
10835480_v0.xml	5	protein	O	O	0
10835480_v0.xml	5	secondary	O	O	0
10835480_v0.xml	5	structure	O	O	0
10835480_v0.xml	5	predictions	O	O	0
10835480_v0.xml	5	produced	O	O	0
10835480_v0.xml	5	results	O	O	0
10835480_v0.xml	5	consistent	O	O	0
10835480_v0.xml	5	with	O	O	0
10835480_v0.xml	5	expectations	O	O	0
10835480_v0.xml	5	for	O	O	0
10835480_v0.xml	5	genes	O	O	0
10835480_v0.xml	5	that	O	O	0
10835480_v0.xml	5	are	O	O	0
10835480_v0.xml	5	orthologous	O	O	0
10835480_v0.xml	5	.	O	O	0
10835480_v0.xml	6	The	O	O	0
10835480_v0.xml	6	only	O	O	0
10835480_v0.xml	6	inconsistency	O	O	0
10835480_v0.xml	6	was	O	O	0
10835480_v0.xml	6	that	O	O	0
10835480_v0.xml	6	the	O	O	0
10835480_v0.xml	6	C-terminus	O	O	0
10835480_v0.xml	6	appears	O	O	0
10835480_v0.xml	6	to	O	O	0
10835480_v0.xml	6	be	O	O	0
10835480_v0.xml	6	more	O	O	0
10835480_v0.xml	6	primitive	O	O	0
10835480_v0.xml	6	in	O	O	0
10835480_v0.xml	6	the	O	O	0
10835480_v0.xml	6	yeasts	B	O	1
10835480_v0.xml	6	than	O	O	0
10835480_v0.xml	6	in	O	O	0
10835480_v0.xml	6	plants	O	O	0
10835480_v0.xml	6	.	O	O	0
10835480_v0.xml	7	In	O	O	0
10835480_v0.xml	7	mammals	O	O	0
10835480_v0.xml	7	,	O	O	0
10835480_v0.xml	7	plants	O	O	0
10835480_v0.xml	7	,	O	O	0
10835480_v0.xml	7	and	O	O	0
10835480_v0.xml	7	yeast	B	O	1
10835480_v0.xml	7	these	O	O	0
10835480_v0.xml	7	genes	O	O	0
10835480_v0.xml	7	have	O	O	0
10835480_v0.xml	7	been	O	O	0
10835480_v0.xml	7	shown	O	O	0
10835480_v0.xml	7	to	O	O	0
10835480_v0.xml	7	code	O	O	0
10835480_v0.xml	7	for	O	O	0
10835480_v0.xml	7	a	O	O	0
10835480_v0.xml	7	non-ATPase	O	O	0
10835480_v0.xml	7	subunit	O	O	0
10835480_v0.xml	7	of	O	O	0
