Doc_ID,Sent_ID,Word,tag
10835480_v0.xml,1,Anopheles,B
10835480_v0.xml,1,stephensi,I
10835480_v0.xml,1,Dox-A2,O
10835480_v0.xml,1,shares,O
10835480_v0.xml,1,common,O
10835480_v0.xml,1,ancestry,O
10835480_v0.xml,1,with,O
10835480_v0.xml,1,genes,O
10835480_v0.xml,1,from,O
10835480_v0.xml,1,distant,O
10835480_v0.xml,1,groups,O
10835480_v0.xml,1,of,O
10835480_v0.xml,1,eukaryotes,O
10835480_v0.xml,1,encoding,O
10835480_v0.xml,1,a,O
10835480_v0.xml,1,26S,O
10835480_v0.xml,1,proteasome,O
10835480_v0.xml,1,subunit,O
10835480_v0.xml,1,and,O
10835480_v0.xml,1,is,O
10835480_v0.xml,1,in,O
10835480_v0.xml,1,a,O
10835480_v0.xml,1,conserved,O
10835480_v0.xml,1,gene,O
10835480_v0.xml,1,cluster,O
10835480_v0.xml,1,.,O
10835480_v0.xml,2,The,O
10835480_v0.xml,2,sequence,O
10835480_v0.xml,2,of,O
10835480_v0.xml,2,a,O
10835480_v0.xml,2,cloned,O
10835480_v0.xml,2,Anopheles,B
10835480_v0.xml,2,stephensi,I
10835480_v0.xml,2,gene,O
10835480_v0.xml,2,showed,O
10835480_v0.xml,2,72,O
10835480_v0.xml,2,%,O
10835480_v0.xml,2,inferred,O
10835480_v0.xml,2,amino,O
10835480_v0.xml,2,acid,O
10835480_v0.xml,2,identity,O
10835480_v0.xml,2,with,O
10835480_v0.xml,2,Drosophila,B
10835480_v0.xml,2,melanogaster,I
10835480_v0.xml,2,Dox-A2,O
10835480_v0.xml,2,and,O
10835480_v0.xml,2,93,O
10835480_v0.xml,2,%,O
10835480_v0.xml,2,with,O
10835480_v0.xml,2,its,O
10835480_v0.xml,2,putative,O
10835480_v0.xml,2,ortholog,O
10835480_v0.xml,2,in,O
10835480_v0.xml,2,Anopheles,B
10835480_v0.xml,2,gambiae,I
10835480_v0.xml,2,.,O
10835480_v0.xml,3,Dox-A2,O
10835480_v0.xml,3,is,O
10835480_v0.xml,3,the,O
10835480_v0.xml,3,reported,O
10835480_v0.xml,3,but,O
10835480_v0.xml,3,herein,O
10835480_v0.xml,3,disputed,O
10835480_v0.xml,3,structural,O
10835480_v0.xml,3,locus,O
10835480_v0.xml,3,for,O
10835480_v0.xml,3,diphenol,O
10835480_v0.xml,3,oxidase,O
10835480_v0.xml,3,A2,O
10835480_v0.xml,3,.,O
10835480_v0.xml,4,Database,O
10835480_v0.xml,4,searches,O
10835480_v0.xml,4,identified,O
10835480_v0.xml,4,Dox-A2,O
10835480_v0.xml,4,related,O
10835480_v0.xml,4,gene,O
10835480_v0.xml,4,sequences,O
10835480_v0.xml,4,from,O
10835480_v0.xml,4,15,O
10835480_v0.xml,4,non-insect,O
10835480_v0.xml,4,species,O
10835480_v0.xml,4,from,O
10835480_v0.xml,4,diverse,O
10835480_v0.xml,4,groups,O
10835480_v0.xml,4,.,O
10835480_v0.xml,5,Phylogenetic,O
10835480_v0.xml,5,trees,O
10835480_v0.xml,5,based,O
10835480_v0.xml,5,on,O
10835480_v0.xml,5,alignments,O
10835480_v0.xml,5,of,O
10835480_v0.xml,5,inferred,O
10835480_v0.xml,5,protein,O
10835480_v0.xml,5,sequences,O
10835480_v0.xml,5,",",O
