Biobert
Anopheles B
stephensi I
Dox-A2 O
shares O
common O
ancestry O
with O
genes O
from O
distant O
groups O
of O
eukaryotes O
encoding O
a O
26S O
proteasome O
subunit O
and O
is O
in O
a O
conserved O
gene O
cluster O
. O
The O
sequence O
of O
a O
cloned O
Anopheles B
stephensi I
gene O
showed O
72 O
% O
inferred O
amino O
acid O
identity O
with O
Drosophila B
melanogaster I
Dox-A2 O
and O
93 O
% O
with O
its O
putative O
ortholog O
in O
Anopheles B
gambiae I
. O
Dox-A2 O
is O
the O
reported O
but O
herein O
disputed O
structural O
locus O
for O
diphenol O
oxidase O
A2 O
. O
Database O
searches O
identified O
Dox-A2 O
related O
gene O
sequences O
from O
15 O
non-insect O
species O
from O
diverse O
groups O
. O
Phylogenetic O
trees O
based O
on O
alignments O
of O
inferred O
protein O
sequences O
", O"
DNA O
", O"
and O
protein O
motif O
searches O
and O
protein O
secondary O
structure O
predictions O
produced O
results O
consistent O
with O
expectations O
for O
genes O
that O
are O
orthologous O
. O
The O
only O
inconsistency O
was O
that O
the O
C-terminus O
appears O
to O
be O
more O
primitive O
in O
the O
yeasts O
than O
in O
plants O
. O
In O
mammals O
", O"
plants O
", O"
and O
yeast O
these O
genes O
have O
been O
shown O
to O
code O
for O
a O
non-ATPase O
subunit O
of O
the O
PA700 O
( O
19S O
) O
regulatory O
complex O
of O
26S O
proteasome O
. O
The O
analyses O
indicated O
that O
the O
insect O
genes O
contain O
no O
divergent O
structural O
features O
", O"
which O
taken O
within O
an O
appraisal O
of O
all O
available O
data O
", O"
makes O
the O
reported O
alternative O
function O
highly O
improbable O
. O
A O
plausible O
additional O
role O
", O"
in O
which O
the O
26S O
proteasome O
is O
implicated O
in O
regulation O
of O
phenol O
oxidase O
", O"
would O
also O
apply O
to O
at O
least O
the O
mammalian O
genes O
. O
No O
function O
has O
yet O
been O
reported O
for O
the O
other O
included O
sequences O
. O
These O
were O
from O
genome O
projects O
and O
included O
Caenorhabiditus B
elegans I
", O"
Arabidopsis B
thaliana I
", O"
Fugu B
rubripes I
", O"
and O
Toxoplasma B
gondii I
. O
A O
consensus O
of O
the O
results O
predicts O
a O
protein O
containing O
exceptionally O
long O
stretches O
of O
helix O
with O
a O
hydrophilic O
C-terminus O
. O
Phosphorylation O
site O
motifs O
were O
identified O
at O
two O
conserved O
positions O
. O
Possible O
SRY O
and O
GATA-1 O
binding O
motifs O
were O
found O
at O
conserved O
positions O
upstream O
of O
the O
mosquito O
genes O
. O
The O
location O
of O
A. B
stephensi I
Dox-A2 O
was O
determined O
by O
in O
situ O
hybridization O
at O
34D O
on O
chromosome O
arm O
3R O
. O
It O
is O
in O
a O
conserved O
gene O
cluster O
with O
respect O
to O
the O
other O
insects O
. O
However O
", O"
the O
A. B
stephensi I
cluster O
contains O
a O
gene O
showing O
significant O
sequence O
identity O
to O
human O
and O
pigeon O
carnitine O
acetyltransferase O
genes O
", O"
therefore O
showing O
divergence O
with O
the O
distal O
end O
of O
the O
D. O
melanogaster I
cluster O
. O
Cloning O
and O
sequence O
of O
the O
gene O
encoding O
the O
muscle O
fatty O
acid O
binding O
protein O
from O
the O
desert B
locust I
", O"
Schistocerca B
gregaria I
. O
Muscle O
fatty O
acid O
binding O
protein O
( O
FABP O
) O
is O
a O
major O
cytosolic O
protein O
in O
flight O
muscle O
of O
the O
desert B
locust I
", O"
Schistocerca B
gregaria I
. O
FABP O
expression O
varies O
greatly O
during O
development O
and O
periods O
of O
increased O
fatty O
acid O
utilization O
", O"
but O
the O
molecular O
mechanisms O
that O
regulate O
its O
expression O
are O
not O
known O
. O
In O
this O
study O
", O"
the O
gene O
coding O
for O
locust B
muscle O
FABP O
was O
amplified O
by O
PCR O
and O
cloned O
", O"
together O
with O
1.2 O
kb O
of O
upstream O
sequence O
. O
The O
sequence O
coding O
for O
the O
607 O
bp O
cDNA O
is O
interrupted O
by O
two O
introns O
of O
12.7 O
and O
2.9 O
kb O
", O"
inserted O
in O
analogous O
positions O
as O
the O
first O
and O
third O
intron O
of O
the O
mammalian O
homologues O
. O
Both O
introns O
contain O
repetitive O
sequences O
also O
found O
in O
other O
locust O
genes O
", O"
and O
the O
second O
intron O
contains O
a O
GT-microsatellite O
. O
The O
promoter O
sequence O
includes O
a O
canonical O
TATA O
box O
24 O
bp O
upstream O
of O
the O
transcription O
start O
site O
. O
The O
upstream O
sequence O
contains O
various O
potential O
myocyte O
enhancer O
sequences O
and O
a O
160 O
bp O
segment O
that O
is O
repeated O
three O
times O
. O
In O
database O
searches O
in O
the O
genome O
database O
of O
Drosophila B
melanogaster I
", O"
a O
gene O
with O
the O
same O
gene O
organization O
and O
promoter O
structure O
was O
identified O
", O"
likely O
the O
dipteran O
homologue O
of O
muscle O
FABP O
. O
Upstream O
of O
both O
insect O
genes O
", O"
a O
conserved O
19 O
bp O
inverted O
repeat O
sequence O
was O
detected O
. O
A O
similar O
but O
reverse O
palindrome O
is O
also O
present O
upstream O
of O
all O
mammalian O
heart O
FABP O
genes O
", O"
possibly O
representing O
a O
novel O
element O
involved O
in O
muscle O
FABP O
expression O
. O
Maelstrom O
is O
required O
to O
position O
the O
MTOC O
in O
stage O
2-6 O
Drosophila B
oocytes O
. O
The O
factors O
that O
